Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-323,9,1N4148WS,C2128
D10,0805,1,POWER,
D11,0805,1,РУС/LAT,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_M3,5,MountingHole,
J1,PinHeader_1x24_P2.54mm_Horizontal,1,Conn_01x24,
J2,PinHeader_1x07_P2.54mm_Vertical,1,SH1.0-7,
J3,JST_SH_SM07B-SRSS-TB_1x07-1MP_P1.00mm_Horizontal,1,SH1.0-7,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,2K,
"R10, R11, R12, R13, R14, R15, R16, R19, R20, R21, R9",0603,11,10K,
"R17, R18",0603,2,1K,
"R22, R23",0603,2,430,
"SW100_ВВОД1, SW101_СБР1, SW102_БЛК1, SW103_СС1, SW104_УС1, SW105_РУС/LAT1, SW10_1, SW11_9, SW12_А1, SW13_И1, SW14_Я1, SW15_Ы1, SW16_СТР1, SW17_ВК1, SW18_2, SW19_:1, SW1_ТАБ1, SW20_Б1, SW21_Й1, SW22_Р1, SW23_З1, SW24_AP2, SW25_ЗБ1, SW26_3, SW27_;1, SW28_Ц1, SW29_К1, SW2_0, SW30_С1, SW31_Ш1, SW32_F1, SW33_LT1, SW34_4, SW35, SW36_Д1, SW37_Л1, SW38_Т1, SW39_Э1, SW3_8, SW40_F2, SW41_UP1, SW42_5, SW43_-=1, SW44_E1, SW45_М1, SW46_У1, SW47_Щ1, SW48_F3, SW49_RT1, SW4_Ю1, SW50_6, SW51, SW52_Ф1, SW53_Н1, SW54_Ж1, SW55_Ч1, SW56_F4, SW57_DN1, SW58_7, SW59_/1, SW5_Х1, SW60_Г1, SW61_О1, SW62_В1, SW63_SPC1, SW63_SPC2, SW64_F5, SW6_П1, SW7_Ь1, SW8_HOME1, SW9_ПС1",SKPM,71,SKPMAME010,C115348
U1,RPi_Pico_SMD_TH,1,Pico,
